HDR,ROLLING SYSTEM DEMAND
VD,20200317194500,37960
VD,20200317195000,37719
VD,20200317195500,37537
VD,20200317200000,37293
VD,20200317200500,37292
VD,20200317201000,37405
VD,20200317201500,37140
VD,20200317202000,36897
VD,20200317202500,36506
VD,20200317203000,36344
VD,20200317203500,36208
VD,20200317204000,35961
VD,20200317204500,35704
VD,20200317205000,35348
VD,20200317205500,35045
VD,20200317210000,34759
VD,20200317210500,34408
VD,20200317211000,34088
VD,20200317211500,33864
VD,20200317212000,33472
VD,20200317212500,33057
VD,20200317213000,32783
VD,20200317213500,32436
VD,20200317214000,32107
VD,20200317214500,31843
VD,20200317215000,31668
VD,20200317215500,31290
VD,20200317220000,30869
VD,20200317220500,30453
VD,20200317221000,30156
VD,20200317221500,29641
VD,20200317222000,29393
VD,20200317222500,29200
VD,20200317223000,28795
VD,20200317223500,28454
VD,20200317224000,28104
VD,20200317224500,27644
VD,20200317225000,27412
VD,20200317225500,27118
VD,20200317230000,26820
VD,20200317230500,26402
VD,20200317231000,26176
VD,20200317231500,25935
VD,20200317232000,25606
VD,20200317232500,25286
VD,20200317233000,24974
VD,20200317233500,24942
VD,20200317234000,24843
VD,20200317234500,24814
VD,20200317235000,24800
VD,20200317235500,24718
VD,20200318000000,24684
VD,20200318000500,24730
VD,20200318001000,24770
VD,20200318001500,24705
VD,20200318002000,24678
VD,20200318002500,24612
VD,20200318003000,24527
VD,20200318003500,24679
VD,20200318004000,24691
VD,20200318004500,24725
VD,20200318005000,24924
VD,20200318005500,25063
VD,20200318010000,25153
VD,20200318010500,25147
VD,20200318011000,25127
VD,20200318011500,25097
VD,20200318012000,25074
VD,20200318012500,24937
VD,20200318013000,24849
VD,20200318013500,24872
VD,20200318014000,24875
VD,20200318014500,24852
VD,20200318015000,24834
VD,20200318015500,24817
VD,20200318020000,24804
VD,20200318020500,24696
VD,20200318021000,24611
VD,20200318021500,24551
VD,20200318022000,24546
VD,20200318022500,24504
VD,20200318023000,24424
VD,20200318023500,24366
VD,20200318024000,24519
VD,20200318024500,24510
VD,20200318025000,24476
VD,20200318025500,24671
VD,20200318030000,24578
VD,20200318030500,24491
VD,20200318031000,24441
VD,20200318031500,24340
VD,20200318032000,24339
VD,20200318032500,24201
VD,20200318033000,24151
VD,20200318033500,24049
VD,20200318034000,23999
VD,20200318034500,24024
VD,20200318035000,24043
VD,20200318035500,24057
VD,20200318040000,24001
VD,20200318040500,24029
VD,20200318041000,24010
VD,20200318041500,24007
VD,20200318042000,24032
VD,20200318042500,24022
VD,20200318043000,24058
VD,20200318043500,24119
VD,20200318044000,24205
VD,20200318044500,24251
VD,20200318045000,24376
VD,20200318045500,24495
VD,20200318050000,24503
VD,20200318050500,24718
VD,20200318051000,24837
VD,20200318051500,24781
VD,20200318052000,24684
VD,20200318052500,24686
VD,20200318053000,24913
VD,20200318053500,25241
VD,20200318054000,25372
VD,20200318054500,25661
VD,20200318055000,26039
VD,20200318055500,26454
VD,20200318060000,26913
VD,20200318060500,27804
VD,20200318061000,28092
VD,20200318061500,28647
VD,20200318062000,29128
VD,20200318062500,29424
VD,20200318063000,29605
VD,20200318063500,30044
VD,20200318064000,30380
VD,20200318064500,30854
VD,20200318065000,31291
VD,20200318065500,31760
VD,20200318070000,32287
VD,20200318070500,32806
VD,20200318071000,33274
VD,20200318071500,33755
VD,20200318072000,34184
VD,20200318072500,34599
VD,20200318073000,34908
VD,20200318073500,34936
VD,20200318074000,35063
VD,20200318074500,35197
VD,20200318075000,35436
VD,20200318075500,35622
VD,20200318080000,35810
VD,20200318080500,36090
VD,20200318081000,36127
VD,20200318081500,36241
VD,20200318082000,36457
VD,20200318082500,36580
VD,20200318083000,36565
VD,20200318083500,36631
VD,20200318084000,36646
VD,20200318084500,36735
VD,20200318085000,36794
VD,20200318085500,36729
VD,20200318090000,36737
VD,20200318090500,36751
VD,20200318091000,36877
VD,20200318091500,36942
VD,20200318092000,36919
VD,20200318092500,36830
VD,20200318093000,36802
VD,20200318093500,36794
VD,20200318094000,36711
VD,20200318094500,36661
VD,20200318095000,36642
VD,20200318095500,36669
VD,20200318100000,36681
VD,20200318100500,36812
VD,20200318101000,36880
VD,20200318101500,36846
VD,20200318102000,36746
VD,20200318102500,36973
VD,20200318103000,36872
VD,20200318103500,37041
VD,20200318104000,37262
VD,20200318104500,37239
VD,20200318105000,37330
VD,20200318105500,37352
VD,20200318110000,37374
VD,20200318110500,37413
VD,20200318111000,37465
VD,20200318111500,37588
VD,20200318112000,37469
VD,20200318112500,37437
VD,20200318113000,37451
VD,20200318113500,37465
VD,20200318114000,37371
VD,20200318114500,37267
VD,20200318115000,37223
VD,20200318115500,37333
VD,20200318120000,37279
VD,20200318120500,37347
VD,20200318121000,37393
VD,20200318121500,37353
VD,20200318122000,37396
VD,20200318122500,37385
VD,20200318123000,37253
VD,20200318123500,37275
VD,20200318124000,37264
VD,20200318124500,37217
VD,20200318125000,37221
VD,20200318125500,37167
VD,20200318130000,37213
VD,20200318130500,37258
VD,20200318131000,37247
VD,20200318131500,37250
VD,20200318132000,35521
VD,20200318132500,35416
VD,20200318133000,35256
VD,20200318133500,35230
VD,20200318134000,35205
VD,20200318134500,35219
VD,20200318135000,35269
VD,20200318135500,35258
VD,20200318140000,36763
VD,20200318140500,36727
VD,20200318141000,36814
VD,20200318141500,36688
VD,20200318142000,36720
VD,20200318142500,36671
VD,20200318143000,36582
VD,20200318143500,36643
VD,20200318144000,36636
VD,20200318144500,36711
VD,20200318145000,36710
VD,20200318145500,36707
VD,20200318150000,36931
VD,20200318150500,36953
VD,20200318151000,36870
VD,20200318151500,36888
VD,20200318152000,37000
VD,20200318152500,37075
VD,20200318153000,37194
VD,20200318153500,37320
VD,20200318154000,37592
VD,20200318154500,37769
VD,20200318155000,37849
VD,20200318155500,37879
VD,20200318160000,37914
VD,20200318160500,37938
VD,20200318161000,37940
VD,20200318161500,38029
VD,20200318162000,38202
VD,20200318162500,38400
VD,20200318163000,38616
VD,20200318163500,38587
VD,20200318164000,38893
VD,20200318164500,39063
VD,20200318165000,39198
VD,20200318165500,39341
VD,20200318170000,39600
VD,20200318170500,39881
VD,20200318171000,39988
VD,20200318171500,40144
VD,20200318172000,40170
VD,20200318172500,40164
VD,20200318173000,40134
VD,20200318173500,40290
VD,20200318174000,40301
VD,20200318174500,40306
VD,20200318175000,40417
VD,20200318175500,40451
VD,20200318180000,40555
VD,20200318180500,40825
VD,20200318181000,40918
VD,20200318181500,40934
VD,20200318182000,41028
VD,20200318182500,41231
VD,20200318183000,41313
VD,20200318183500,41492
VD,20200318184000,41566
VD,20200318184500,41574
VD,20200318185000,41596
VD,20200318185500,41571
VD,20200318190000,41500
VD,20200318190500,41279
VD,20200318191000,41173
VD,20200318191500,40985
VD,20200318192000,40861
VD,20200318192500,40612
VD,20200318193000,40431
VD,20200318193500,40314
VD,20200318194000,40083
VD,20200318194500,39808
VD,20200318195000,39671
VD,20200318195500,39394
VD,20200318200000,39085
VD,20200318200500,39298
VD,20200318201000,39324
VD,20200318201500,38991
VD,20200318202000,38881
VD,20200318202500,38778
VD,20200318203000,38386
VD,20200318203500,38144
VD,20200318204000,37774
VD,20200318204500,37537
VD,20200318205000,37214
VD,20200318205500,36862
VD,20200318210000,36698
VD,20200318210500,36708
VD,20200318211000,36285
VD,20200318211500,35867
VD,20200318212000,35488
VD,20200318212500,35127
VD,20200318213000,34834
VD,20200318213500,34580
VD,20200318214000,34356
VD,20200318214500,34183
VD,20200318215000,33700
VD,20200318215500,33289
VD,20200318220000,33018
VD,20200318220500,32781
VD,20200318221000,32341
VD,20200318221500,31973
VD,20200318222000,31676
VD,20200318222500,31429
VD,20200318223000,31242
VD,20200318223500,31161
VD,20200318224000,30984
VD,20200318224500,30750
VD,20200318225000,30431
VD,20200318225500,30222
VD,20200318230000,29834
VD,20200318230500,29540
VD,20200318231000,29356
VD,20200318231500,29165
VD,20200318232000,29072
VD,20200318232500,29029
VD,20200318233000,28846
VD,20200318233500,28862
VD,20200318234000,28795
VD,20200318234500,28644
